"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\DiarioTimelineView.tsx", "TypeScript JSX", -122, 0, 0, 0, -11, -133
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\GanttChart.tsx", "TypeScript JSX", -136, 0, 0, -2, -16, -154
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ObraCalendarView.tsx", "TypeScript JSX", -326, 0, 0, -6, -33, -365
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ObraHeader.tsx", "TypeScript JSX", -60, 0, 0, 0, -5, -65
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosCalendarView.tsx", "TypeScript JSX", -152, 0, 0, -5, -20, -177
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosResumoMensal.tsx", "TypeScript JSX", -70, 0, 0, 0, -8, -78
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PagamentosTimelineView.tsx", "TypeScript JSX", -144, 0, 0, -7, -15, -166
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PainelUnifiedListView.tsx", "TypeScript JSX", -158, 0, 0, 0, -16, -174
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PendenciasBlock.tsx", "TypeScript JSX", -106, 0, 0, -3, -13, -122
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PendenciasTimelineView.tsx", "TypeScript JSX", -102, 0, 0, 0, -10, -112
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PontosAtencao.tsx", "TypeScript JSX", -77, 0, 0, -3, -7, -87
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\PrintSectionPicker.tsx", "TypeScript JSX", -104, 0, 0, 0, -8, -112
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ResumoExecutivo.tsx", "TypeScript JSX", -131, 0, 0, -4, -17, -152
