"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\PainelObraPage.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\scripts\verifyCotacaoFluxo.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 77
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\types\suprimentos.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\utils\cotacaoCategorias.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 135
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\utils\seedRealistico.ts", "TypeScript", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 50, 330
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\.temp\linked-project.json", "JSON", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\functions\invite-company-user\index.ts", "TypeScript", -98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -17, -119
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\functions\payment-webhook\index.ts", "TypeScript", -134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -23, -165
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\functions\process-voice\index.ts", "TypeScript", -137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -20, -162
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\functions\seed-users\index.ts", "TypeScript", -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -17, -110
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402023041_b505b6a9-0eb9-4bc9-aed1-8717ac19f2eb.sql", "SQLite", 0, 0, 0, 0, 0, -308, 0, 0, 0, 0, 0, -73, -40, -421
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402023102_dbcbe681-e1c9-4bb1-9eb5-8164d6c790cd.sql", "SQLite", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4, -3, -11
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402030647_c3bb406a-2231-4d67-9ccf-814699b7955c.sql", "SQLite", 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -2, -3, -20
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402033725_310029f7-b9f4-4ad9-921d-b0a3de9651a9.sql", "SQLite", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -2, -3, -15
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402034612_e8604e9c-91ea-4f0a-96f7-70db32ee3114.sql", "SQLite", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -2
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402142254_ac34cc91-5bf1-4e85-8fcb-c3dbe056bd75.sql", "SQLite", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, 0, -5, -27
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402160723_04b6a280-eb51-47a5-b465-96336b27113c.sql", "SQLite", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260402160810_def495e4-fcec-4ec7-8317-77c8cbf38caf.sql", "SQLite", 0, 0, 0, 0, 0, -181, 0, 0, 0, 0, 0, -10, -34, -225
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260403163011_5e110641-45c3-433b-ae6f-ffad546de3a8.sql", "SQLite", 0, 0, 0, 0, 0, -144, 0, 0, 0, 0, 0, -11, -33, -188
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\supabase\migrations\20260403172851_d26ad058-bb6d-4082-a7d6-fc9480e72b0e.sql", "SQLite", 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -3, -8, -31
